,period,gameClock,team.name,x_passer,y_passer,x_recipient,y_recipient,player.jersey_nb,pass.recipient.jersey_nb,coord_all_team,coord_all_adversary,completed,distance_sideline,distance_goal,distance_opponent,speed_passer,opponents_closer_to_goal,distance_receiver_sideline,distance_receiver_goal,distance_receiver_opponent,opponents_closer_to_goal_receiver,speed_receiver,bypassed_opponents,angle,opponents_in_path,nearest_defender_pass_line,distance_pass
371,1,2343.999,Manchester City WFC,-6.626291384242473,30.557360455949556,-15.16532667321473,30.111610092292715,21,11,"{14: [-23.157863703692765, 6.392998636657393, 1.7000000000000002], 25: [-32.77851012926818, 23.92975636473593, 2.14], 9: [0.8311327681266331, -9.137882454965338, 0.93], 7: [-20.76693382278053, 29.09107636497309, 3.89], 10: [-10.565632997555007, 8.351954182201952, 2.13], 15: [-33.3136230073771, 35.01486409251802, 3.64], 1: [-56.65365279723461, 6.838749000314238, 1.22], 21: [-6.6490621450130645, 30.569090728677367, 0.59], 33: [-37.21880847953375, 7.3079599094267085, 1.3900000000000001], 5: [-40.065153575857835, 29.184918546795583, 3.08], 11: [-15.017316728205877, 29.97084681955897, 4.4]}","{2: [11.806639459552308, -32.12921700147633, 2.92], 14: [-2.151836892821009, -16.61006618258141, 2.3], 8: [33.541330615083034, -34.32277800157713, 2.5300000000000002], 20: [30.991005408776648, -10.158416182284958, 1.4100000000000001], 12: [18.023057149924114, -30.088149546837087, 3.68], 15: [6.250573831527693, -30.557360455949556, 0.22], 33: [-0.8083620073560404, 2.0645280000948647, 2.21], 19: [30.433121769897127, -36.57499036531698, 1.8599999999999999], 88: [26.52793629774048, -24.1995526374756, 3.3], 21: [-36.46737337410419, -4.551345818390951, 0.77], 10: [9.984978597904894, -15.953170909823953, 2.17]}",1,3.5424434686109905,66.73276287896651,29.080746269513867,0.59,10,3.9881938322678323,74.24485047040123,31.508114007398163,10,4.4,0,-177.01178726859254,0,28.757381824667448,8.550661790353642
370,1,2342.914,Manchester City WFC,-15.734595692479548,33.45473781971906,-6.535208341160102,29.54855700135775,11,21,"{14: [-23.988996471819398, 6.158393182101158, 0.7000000000000001], 25: [-34.37246338320966, 25.349119364801147, 1.38], 9: [0.13662456462355613, -9.255185182243455, 0.31], 7: [-24.35332864414888, 31.390209819624193, 2.9], 10: [-12.034347067258237, 7.542565363982942, 1.08], 15: [-37.16188157760727, 36.3990362743998, 2.92], 1: [-57.48478556536124, 7.964855182184165, 1.26], 21: [-6.535208341160102, 29.583747819541184, 0.7000000000000001], 33: [-39.05185472156646, 6.533761909391134, 1.5], 5: [-42.6610203037054, 31.613085001452614, 2.52], 11: [-15.802907974791326, 33.37262591062437, 2.24]}","{2: [12.558074564981867, -32.95033609242315, 1.8], 14: [-0.9336011915943003, -14.815334455226216, 1.69], 8: [36.956944730671935, -35.46061445617486, 3.2], 20: [32.334480294241615, -10.83877200049804, 0.93], 12: [20.425372411221645, -33.513389183358115, 2.42], 15: [6.13672002767473, -29.794892728641795, 0.9500000000000001], 33: [0.8425181485119294, 2.873916818313874, 1.16], 19: [32.380021815782804, -37.06766181988507, 1.48], 88: [29.8980088917882, -26.275810910298276, 2.92], 21: [-35.875333594068785, -4.480964182024081, 0.37], 10: [11.02104821296686, -14.123248364285322, 2.07]}",1,0.6450661048414901,76.17347707771118,34.78487194768978,2.24,10,4.551246923202797,66.19537593247365,27.676113835783873,10,0.7000000000000001,0,-23.006715427000383,0,21.669410635425248,9.994347213567778
187,1,1047.478,Manchester City WFC,9.279085014016522,-18.557291455398158,22.725219249051506,-13.876912637001277,7,21,"{14: [15.484117324003028, -19.120344546333122, 3.99], 25: [-4.3606006875685, -24.879908455688682, 1.6600000000000001], 9: [21.074339093183536, -31.50751254690231, 2.45], 7: [9.324626535557705, -18.58075200085378, 1.1], 10: [25.400783639596142, -25.994284364830794, 2.89], 15: [-4.793245142209761, 7.65986809126106, 2.96], 1: [-36.615383319113036, -3.3783185456097784, 0.81], 21: [22.713833868666207, -13.7009585460841, 3.8], 33: [-9.11968968862237, -13.54846500062255, 1.13], 5: [-5.863470898427618, -2.17010045464517, 1.05], 11: [12.558074564981867, 6.17012345482897, 2.68]}","{2: [-20.026884097736268, -20.363753455481163, 4.85], 14: [-28.987178460964493, 22.0998338191973, 4.1], 8: [4.918484326448021, 9.102691636781902, 1.08], 20: [-12.535303804211274, 19.882812273640884, 3.18], 12: [-21.506983547824795, 17.41945500080042, 5.49], 15: [-28.816397755185047, 2.0997188182782995, 2.89], 33: [-18.888346059206636, 29.81835327409742, 3.86], 19: [-6.592135243086584, -14.545538182486546, 3.09], 88: [1.719192438179748, 30.569090728677367, 3.38], 21: [-52.304437490051406, 3.4135093637932137, 0.98], 10: [-6.0684077453629515, 14.217090546107816, 4.06]}",0,15.54251246916239,47.21944632007659,16.370393910110927,1.1,0,20.22289128755927,33.03037874698203,29.071326443482775,0,3.8,0,19.19216903254114,0,7.927911862173804,14.237432063061021
367,1,2336.776,Manchester City WFC,-22.98708299791332,33.994330365198394,-27.4046105874083,39.413716365447414,25,15,"{14: [-16.303864711744364, 0.29325681819529326, 1.38], 25: [-22.98708299791332, 33.994330365198394, 2.5300000000000002], 9: [-2.1062953712798236, -4.445773363840646, 0.77], 7: [-8.447952245889887, 27.85939772855286, 1.52], 10: [-7.890068607010366, 10.346100545929946, 0.73], 15: [-27.4046105874083, 39.413716365447414, 1.22], 1: [-57.746649314223056, 8.68040181858068, 1.71], 21: [0.626195921191299, 31.237716274162636, 0.71], 33: [-31.79936741613269, 7.8358221821782355, 1.4], 5: [-40.87351558321387, 29.583747819541184, 2.67], 11: [-9.11968968862237, 39.23776227453024, 1.0]}","{2: [4.975411228374503, -36.9972801835182, 1.08], 14: [-3.8482585702301644, -13.525004455166924, 1.17], 8: [32.22062649038865, -24.164361819292164, 1.92], 20: [16.65681150368855, -6.885670091225486, 2.99], 12: [7.354955728901438, -28.903392001328104, 2.03], 15: [-2.1632222732063053, -30.416597183215817, 0.64], 33: [0.17078070577944515, 1.043994272775244, 0.72], 19: [15.051472869361767, -38.48702481995029, 4.32], 88: [22.66829234712502, -33.64242218336404, 3.18], 21: [-38.687522549236974, -5.349004363882149, 0.18], 10: [9.802812511740152, -24.25820400111466, 2.02]}",1,0.10547355936215297,82.97000727761726,40.27420141880475,2.5300000000000002,10,-5.313912440886867,89.27516645237961,46.16281262477761,10,1.22,0,129.184658566406,0,2.8687628300409025,6.991730445579578
197,1,1130.052,Manchester City WFC,-34.668483273227366,-31.026571365062026,-41.96651210020232,-26.932706183055732,9,14,"{14: [-41.96651210020232, -26.932706183055732, 1.9100000000000001], 25: [-36.23966576639826, -14.146708909740948, 1.8599999999999999], 9: [-34.668483273227366, -31.026571365062026, 1.98], 7: [-27.131361458161187, -0.7155466363965155, 0.9500000000000001], 10: [-33.404706050459474, -38.12338636538812, 4.35], 15: [-41.101223190919804, 6.158393182101158, 1.25], 1: [-56.82443350301405, -1.1847575455089847, 0.07], 21: [-8.550420669357555, -12.14083227328514, 0.74], 33: [-43.68570453838207, -6.615873818485816, 0.43], 5: [-43.56046535414381, 0.8093888182190094, 0.71], 11: [-12.649157608064238, 22.193676001019796, 1.18]}","{2: [14.698526077417581, -5.618800636621819, 1.46], 14: [7.343570348516142, 18.744975819043145, 1.6], 8: [39.22263542734591, 2.076258272822676, 1.22], 20: [40.39532960703143, 34.205475274299005, 1.07], 12: [20.687236160083458, 26.135047637564536, 0.67], 15: [-0.1821660861647415, 4.363661454745963, 0.05], 33: [35.32883533557456, 35.02659436524583, 3.18], 19: [32.22062649038865, -15.24935454615525, 1.92], 88: [30.387580248355945, 29.865274365008666, 1.62], 21: [-29.510905958688127, 4.868063182041868, 0.6900000000000001], 10: [27.99665036744371, 15.073400455238072, 0.93]}",1,3.0732325594985213,92.71328647531587,36.263278851002894,1.98,11,7.167097741504815,98.42235734890671,34.15305340031336,11,1.9100000000000001,0,150.70953948793567,0,33.828811032155485,8.367852585209713
198,1,1132.591,Manchester City WFC,-38.0043997261192,-20.363753455481163,-46.27018588584434,-10.721469273219922,14,33,"{14: [-37.958858204578014, -20.316832364569915, 1.52], 25: [-32.0612311649945, -8.316763364018517, 2.51], 9: [-31.98153350229743, -31.484052001446685, 2.85], 7: [-24.79735847917544, 0.9501520909527502, 1.51], 10: [-20.095196380048044, -33.044178274245645, 4.59], 15: [-39.06324010195176, 13.372510909705372, 3.45], 1: [-57.2912340988112, -0.9266915454971267, 0.75], 21: [-9.279085014016522, -9.07923109132628, 1.43], 33: [-46.36126892892671, -10.815311455042416, 2.7], 5: [-44.755930294599935, 5.454576818432455, 2.39], 11: [-11.191828918746307, 26.02947518301423, 1.57]}","{2: [12.284825435734755, -5.231701636604032, 3.11], 14: [6.705989046939546, 14.615919818853417, 2.56], 8: [36.84309092681897, 2.346054545562346, 1.12], 20: [33.70072594047718, 30.803696183233605, 3.17], 12: [19.184365949224343, 19.636476546356835, 3.24], 15: [-0.19355146655003785, 3.6363845456216364, 0.63], 33: [23.203405225233947, 32.08229591056509, 4.65], 19: [25.059222228037257, -13.536734727894736, 1.8399999999999999], 88: [34.97588854363037, 19.4018710918006, 3.8200000000000003], 21: [-31.7652112749768, 4.6334577274856334, 0.86], 10: [29.112417645202754, 9.184803545876585, 2.4]}",1,13.736050469079384,92.96138165526008,25.76408429295924,1.52,11,6.428975643696674,99.54838839079136,21.122690918983512,11,2.7,0,130.60462110980646,0,21.0059805451063,12.700270276249595
200,1,1138.099,Manchester City WFC,-44.380212741885146,-8.12907900037353,-38.949386298098794,-19.835891182729636,33,14,"{14: [-38.949386298098794, -19.835891182729636, 0.76], 25: [-32.81266627042407, -1.1143759091421144, 1.49], 9: [-17.339934326806333, -35.05005491070145, 3.0], 7: [-19.138824427683154, 14.11151809155751, 1.8], 10: [-12.580845325752462, -18.93266018268813, 0.96], 15: [-34.884805500548, 28.915122274055914, 1.55], 1: [-57.75803469460835, 0.48094118184028095, 0.93], 21: [-4.007653895624313, -0.7624677273077625, 1.09], 33: [-44.380212741885146, -8.12907900037353, 1.3900000000000001], 5: [-47.24932859897983, 15.261084818883061, 0.9500000000000001], 11: [-6.375813015765952, 32.844763637872845, 1.12]}","{2: [3.3131456921212363, -18.439988728120042, 1.07], 14: [0.7969766269707441, 6.9677820003201685, 1.11], 8: [37.56036989109264, -7.3079599094267085, 2.62], 20: [25.321085976899067, 20.492786455487092, 0.72], 12: [14.356964665858689, 8.422335818568822, 2.5300000000000002], 15: [2.2087637947474907, 0.09384218182249385, 0.99], 33: [9.108304308237075, 23.542657364718142, 0.89], 19: [21.01741219125705, -18.885739091776887, 1.8], 88: [33.9398189285684, 6.956051727592356, 1.09], 21: [-33.564101375853625, 1.3607116364261607, 0.6000000000000001], 10: [21.21096365780709, -6.404728909385205, 2.35]}",1,8.31894878765587,97.41912971447627,14.389037195472369,1.3900000000000001,11,13.749775231442221,93.7705652000044,21.87000833943153,11,0.76,0,-65.11326852186008,0,13.805291671219031,12.905166691503464
361,1,2302.857,Manchester City WFC,-42.79764486832896,-15.061670182510262,-58.2362206707908,-2.7214232728523213,25,1,"{14: [-41.13537933207569, -24.727414910227125, 0.66], 25: [-42.79764486832896, -15.061670182510262, 0.25], 9: [-30.421736389511832, -32.48112518331068, 1.4], 7: [-38.11825352997216, -13.947294273368147, 3.86], 10: [-43.469382311061445, -21.255254182794857, 1.71], 15: [-43.78817296184974, 0.5161320000237162, 1.92], 1: [-58.2362206707908, -2.7214232728523213, 0.18], 21: [-18.62648231034482, -17.02062572805482, 1.62], 33: [-42.27391737060533, -21.055839546422057, 1.8399999999999999], 5: [-44.254973557646885, -8.176000091284775, 2.7], 11: [-28.850553896340937, 4.422312818385023, 1.06]}","{2: [17.294392805265147, -7.284499363971085, 3.56], 14: [9.438480339410669, 23.976677455647177, 2.31], 8: [45.39351159617652, 29.196648819523396, 1.48], 20: [41.39724308093751, 23.777262819274377, 1.56], 12: [30.535590193364797, 12.222944182379823, 2.94], 15: [3.1651357471123838, 5.501497909343702, 0.5], 33: [29.20350068828512, 27.97670045583098, 2.05], 19: [39.47311379582243, 1.5483960000711485, 1.04], 88: [39.09739624310765, 15.472229727983672, 3.62], 21: [-29.84108198986172, 8.46925690948007, 0.79], 10: [35.03281544555685, 25.689297273907687, 3.0]}",1,9.901516661212057,96.67726692909237,26.86218627424506,0.25,11,-5.5370591412497845,110.96875762377319,30.52073432361092,11,0.18,0,141.36421795888864,0,26.470386876150787,19.764395174142887
203,1,1144.577,Manchester City WFC,-25.480481302293217,-21.83003754645763,-38.767220211934045,7.8123616367226125,14,5,"{14: [-25.480481302293217, -21.83003754645763, 2.47], 25: [-21.46144202628361, -11.941417636912341, 0.81], 9: [-18.763106874968376, -37.26707645625787, 0.05], 7: [-9.358782676713595, 11.753733273267354, 0.99], 10: [-8.846440559375258, -17.74790263717915, 0.88], 15: [-26.186374886181593, 24.293394819298094, 0.89], 1: [-56.69919431877579, -1.1143759091421144, 0.39], 21: [-3.005740421718235, -14.615919818853417, 0.06], 33: [-41.70464835134051, -16.72736890985953, 0.79], 5: [-38.767220211934045, 7.8123616367226125, 1.5], 11: [1.2296210816120052, 31.95326291055915, 0.6900000000000001]}","{2: [-2.2087637947474907, -9.75958690953936, 0.6900000000000001], 14: [1.6167240147120807, 15.261084818883061, 0.89], 8: [23.88652804835173, 11.343173727793943, 0.79], 20: [22.52028240211617, 20.73912218277114, 3.14], 12: [12.102659349570015, 18.662863909948463, 1.4], 15: [-2.5503252063063813, 8.856355909497855, 1.03], 33: [9.859739413666635, 30.24064309229864, 1.51], 19: [8.083620073560404, -13.806531000634406, 1.34], 88: [23.442498213325173, 24.093980182925293, 3.23], 21: [-35.16944001018041, 4.469233909296269, 0.45], 10: [8.208859257798665, -0.48094118184028095, 1.04]}",1,12.269766378102918,81.17023526264366,26.21580848132079,2.47,10,13.93194131760697,91.79941167142726,4.911265150856474,11,1.5,0,114.1435572263523,1,1.9156384995760363,32.483984672265315
360,1,2301.482,Manchester City WFC,-37.33266228338671,-19.085153728149685,-43.01396709564959,-16.774290000770776,7,25,"{14: [-41.60217992787284, -26.36965309212077, 1.81], 25: [-43.01396709564959, -16.774290000770776, 2.94], 9: [-31.70828437305032, -34.74506781977835, 0.93], 7: [-37.33266228338671, -19.085153728149685, 4.47], 10: [-44.86978409845289, -24.01186827383061, 2.51], 15: [-41.86404367673466, 1.0205337273196204, 2.41], 1: [-58.12236686693783, -2.4633572728404634, 0.39], 21: [-19.46900045885675, -20.234720455475234, 2.18], 33: [-42.79764486832896, -23.014795091966615, 1.51], 5: [-42.410541935228885, -9.865159364089665, 0.2], 11: [-26.00420880001685, 7.601216727622002, 4.07]}","{2: [12.95656287846724, -9.313836545882515, 1.3599999999999999], 14: [8.835055178989963, 27.155581364884153, 1.62], 8: [45.97416599582664, 31.58962445599699, 1.27], 20: [42.96842557410841, 24.915099273872112, 1.0], 12: [30.61528785606187, 17.091007364421692, 2.91], 15: [3.2220626490388655, 6.205314273012405, 0.59], 33: [28.042191888984895, 31.50751254690231, 3.02], 19: [38.39150265921927, 0.7038163636687039, 2.15], 88: [37.54898451070734, 16.645257000764843, 1.1], 21: [-29.533676719458718, 8.844625636770045, 0.35000000000000003], 10: [36.09165582138941, 30.83888700141704, 3.6]}",1,15.014650196410862,92.03245292780784,28.99821979362618,4.47,11,9.685194433891425,97.17190847283098,28.949042593320044,11,2.94,0,157.8660269219847,0,27.998874898599702,6.133295650493045
